order_book_id,date,limit_down,low,iopv,high,open,limit_up,volume,prev_close,num_trades,close,total_turnover
159915.XSHE,2024-01-30,1.4480257600000002,1.76535419,1.5423,1.8203425100000001,1.7985763000000003,2.1720386400000002,1392783575.1317732,1.58,112216.0,1.7687909600000002,2493371606.879
159915.XSHE,2024-01-31,1.4148036500000003,1.7527527000000003,1.5321,1.7871204000000003,1.7687909600000002,2.12277827,1628974462.8556433,1.544,89408.0,1.75618947,2884546065.995
159915.XSHE,2024-02-01,1.4044933400000001,1.7435879800000003,1.5473,1.8031586600000002,1.74931593,2.1078856000000004,1729527703.7527003,1.533,87695.0,1.7733733200000001,3070980291.653
159915.XSHE,2024-02-02,1.41824042,1.6851628900000002,1.5097,1.7802468600000003,1.7710821400000003,2.1285062200000002,2229098290.99431,1.548,121815.0,1.72754972,3868328778.934
159915.XSHE,2024-02-05,1.38158154,1.6542319600000002,1.5215,1.7871204000000003,1.7080746900000003,2.0735179,5486087089.47798,1.508,153974.0,1.74931593,9548912110.888
159915.XSHE,2024-02-06,1.39991098,1.72067618,1.6233,1.8604381600000004,1.72754972,2.09872088,3219373687.2677474,1.527,144027.0,1.8592925700000003,5835093267.116
159915.XSHE,2024-02-07,1.4869758200000003,1.8489822600000003,1.6618,1.90855294,1.8581469800000003,2.23160932,3807557318.8735876,1.623,112516.0,1.9016794000000001,7203702865.633
159915.XSHE,2024-02-08,1.5213435200000003,1.9119897100000003,1.6811,1.96812362,1.9131353000000002,2.2820152800000004,2234981648.1977773,1.66,101948.0,1.9257367900000002,4328895568.062
159915.XSHE,2024-02-19,1.54081855,1.9188632500000002,1.6998,1.9555221300000003,1.95208536,2.31065503,1991920621.6030097,1.681,66167.0,1.9440662300000002,3851174613.555
159915.XSHE,2024-02-20,1.5557112200000003,1.9200088400000002,1.6995,1.9486485900000003,1.93375592,2.3324212400000004,1163545707.7509274,1.697,47324.0,1.94292064,2253230303.13
159915.XSHE,2024-02-21,1.5545656300000001,1.9200088400000002,1.7056,1.9887442400000002,1.9257367900000002,2.3312756500000003,1079941211.1386383,1.696,87054.0,1.9509397700000002,2116292414.101
159915.XSHE,2024-02-22,1.5602935800000002,1.94062946,1.7108,1.9635412600000002,1.9475030000000002,2.34158596,838690837.6185862,1.703,43128.0,1.9589589,1636373905.059
159915.XSHE,2024-02-23,1.5671671200000004,1.9417750500000002,1.7111,1.9692692100000002,1.9669780300000004,2.3507506800000004,733139420.937947,1.71,43926.0,1.9578133100000004,1432116124.756
159915.XSHE,2024-02-26,1.5660215300000002,1.9360471000000001,1.7047,1.9704148000000001,1.9543765400000002,2.3496050900000003,1074681066.7739675,1.709,49848.0,1.95208536,2098414307.647
159915.XSHE,2024-02-27,1.56143917,1.94062946,1.7458,2.00020014,1.94292064,2.3427315500000003,1060462428.4742705,1.704,67362.0,2.00020014,2089515169.044
159915.XSHE,2024-02-28,1.6003892300000002,1.9486485900000003,1.7019,2.0391502000000004,2.0036369100000004,2.4000110500000003,1627974392.8129954,1.746,99119.0,1.9486485900000003,3255806446.122
